Site,S1V1,S1V2,S1V3,S2V1,S2V2,S2V3,S3V1,S3V2,S3V3,S4V1,S4V2,S4V3,S5V1,S5V2,S5V3,S6V1,S6V2,S6V3,S7V1,S7V2,S7V3,S8V1,S8V2,S8V3,S9V1,S9V2,S9V3,S10V1,S10V2,S10V3,S11V1,S11V2,S11V3,S12V1,S12V2,S12V3,S13V1,S13V2,S13V3,Lat,MeanLHeight,SaltMarsh,Shrub
12,0,1,0,0,0,0,1,1,1,1,1,0,1,0,0,1,1,1,1,0,0,1,0,0,0,0,1,1,1,1,0,1,1,0,1,1,0,1,0,3.360081712,-0.054093859,1,0
13,0,0,1,1,1,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,1,1,0,0,0,1,0,1,1,0,0,0,1,1,0,0,0,1,1,3.409481644,0.081406141,1,0
14,1,1,1,1,1,1,1,1,0,1,0,0,1,0,0,1,0,1,1,0,0,0,0,0,1,1,0,1,0,0,1,0,1,0,1,1,0,0,0,3.457981674,-0.036927192,1,0
15,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,0,1,1,1,0,0,1,0,0,0,0,0,0,0,1,0,1,1,1,1,0,1,0,3.505881656,-0.034070049,1,0
16,1,0,0,1,1,0,0,1,0,0,1,0,1,1,0,1,1,0,1,0,1,0,1,0,1,0,0,1,1,0,1,1,0,1,0,0,1,0,0,3.553881616,-0.000927192,1,0
17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.510863434,-0.09554624,0,0
18,0,0,0,0,1,1,1,1,0,0,0,1,1,1,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,1.534468547,0.038830384,1,0
19,0,0,0,0,0,0,1,1,0,0,1,0,1,0,0,0,1,1,0,1,0,1,0,1,0,1,1,1,1,0,0,0,0,1,1,1,0,0,1,1.30271607,-0.058760525,1,0
20,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.888417052,0.092120427,1,0
21,1,0,1,0,1,0,0,0,1,1,0,1,0,1,0,0,0,0,1,1,0,0,0,0,0,0,1,0,1,0,0,0,1,1,1,0,0,0,1,2.420181892,-0.023058144,1,0
22,1,0,1,0,1,0,0,0,0,1,0,1,0,1,1,0,0,1,1,1,0,0,0,1,1,0,1,1,0,0,0,0,0,0,0,0,1,0,0,2.433981944,-0.116371637,1,0
23,1,1,1,0,0,0,0,1,1,1,1,0,1,1,0,1,0,0,1,0,0,0,1,1,0,1,0,0,0,1,0,0,1,0,1,0,0,1,0,2.425081951,-0.100816081,1,0
